date,devinette,réponse
19/12,Qu'est-ce qui a une robe violette et des perles blanches ?,la myrtille
20/12,Qu'est-ce qui a une peau rouge et un cœur jaune ?,la cerise
21/12,Qu'est-ce qui a une robe verte et des yeux bleus ?,la groseille
22/12,Qu'est-ce qui a une peau brune et un cœur rose ?,la châtaigne
23/12,Qu'est-ce qui a une robe rouge et une couronne noire ?,le cassis
24/12,Qu'est-ce qui a une peau orange et un cœur rouge ?,la mangue
25/12,Qu'est-ce qui a une robe verte et des diamants rouges ?,la grenade
26/12,Qu'est-ce qui a une peau jaune et un cœur vert ?,l'ananas
27/12,Qu'est-ce qui a une robe marron et un cœur blanc ?,la noix
28/12,Qu'est-ce qui a une peau noire et un cœur orange ?,la datte
29/12,Qu'est-ce qui a une robe bleue et des yeux verts ?,la mûre
30/12,Qu'est-ce qui a une peau verte et un cœur rouge ?,le piment
31/12,Qu'est-ce qui a une robe dorée et un cœur noir ?,le raisin
